run_id,date,total_distance_km,duration_min,avg_pace_min_km,min_pace_min_km,fastest_1km_pace,fastest_5min_pace,avg_cadence,total_elev_gain,avg_stride_len_m,avg_gct_est_ms,pace_variability,cadence_drift,week,load_7d,load_28d
5908230645,2021-06-30,1.0163200000000001,6.283333333333333,6.301865795994244,5.413012882970661,5.995714091395692,6.000690530187237,81.95774647887323,6.000000000000167,1.9579058675744894,366.06909225621786,0.7352046095827075,-0.4542483660130614,2021-06-28,75.03292999999998,280.36332999999996
5908227427,2021-06-30,3.56945,23.916666666666668,21.376278757129377,3.6832412523020253,4.732360335455753,5.3118223589852285,81.7051282051282,21.599999999999852,2.138112651823406,377.5097009445468,144.89426262201914,10.382817066043259,2021-06-28,67.45641999999998,283.14978
5915470966,2021-07-01,7.22844,42.8,5.634351397366817,4.568713450292397,4.8871334398903175,4.882640003269446,83.00466200466201,75.2000000000001,,,3.7963269928363,1.0526133610245694,2021-06-28,64.62683999999999,283.57430000000005
5920613114,2021-07-02,12.76474,65.26666666666667,4.90822258353776,3.900460254310009,4.31355304117962,4.309734636378213,86.05154639175258,51.40000000000015,2.44000578822251,349.01761675925155,1.0810229576468102,1.9083536373129135,2021-06-28,57.930329999999984,286.86968
5930617786,2021-07-04,20.00758,99.25,4.719269319307546,3.5942779095679684,4.266836966616773,4.271493027860391,86.25146198830409,102.7999999999995,2.4955290804048675,347.87044323492734,0.7333174940145457,0.23308304961089732,2021-06-28,67.11264999999999,291.72048
5937071453,2021-07-05,11.22116,55.083333333333336,5.015529783135958,3.1446540880503147,4.426039905662758,4.421278752369334,85.31484502446982,71.2000000000001,2.3976144244645226,352.4908136349241,2.461036611309643,2.543926661573721,2021-07-05,65.97024999999998,292.87324
5943994260,2021-07-06,17.500349999999997,83.0,5.062192090773207,2.7908015181960257,3.7574716019396015,3.724404850375167,85.93117408906883,153.9999999999999,2.5262336320306393,349.4749422345214,11.185249416383186,1.429149797570858,2021-07-05,73.30803999999998,295.30605
5949493945,2021-07-07,12.298399999999999,60.31666666666667,5.047490869188114,2.677806341045416,3.833936686588665,4.359190866374322,85.63165680473372,107.59999999999982,2.3906403445911235,350.7134737274317,1.281613649295826,0.2307692307692264,2021-07-05,84.59011999999998,294.59371999999996
5954166966,2021-07-08,17.56257,80.06666666666666,7.482509415078107,3.007337904486948,3.6865370790172087,3.713757843127956,86.94585987261146,91.79999999999893,2.5845743114557753,345.76485520000153,63.95120026576974,1.3355932203389926,2021-07-05,98.58323999999999,308.95047999999997
5959276428,2021-07-09,10.818370000000002,61.96666666666667,5.306855576792901,4.163544008660171,4.437774337472128,4.582281003200674,83.80258899676376,77.19999999999993,2.347574018923841,359.2161187095441,2.5640766147158973,2.908211143695013,2021-07-05,102.17316999999998,318.78024
5962820070,2021-07-10,11.10747,57.233333333333334,5.1111186201622925,3.5942779095679684,4.505035040065853,4.507620807224848,84.91158536585365,128.59999999999974,2.3909735706335256,353.4596331112042,2.838452029452472,0.20121951219512368,2021-07-05,100.51589999999999,319.2359
5971330205,2021-07-11,25.23014,116.88333333333334,4.3194039242836535,3.502136303144918,4.157880317921469,4.159723192588547,87.70981038746909,131.59999999999974,2.654073672315582,342.0729335612167,0.39882191257528476,1.2861407851311526,2021-07-05,105.73845999999999,321.11003999999997
5982850144,2021-07-13,10.01467,56.833333333333336,5.180101214524807,3.6231884057971016,4.624807274068231,4.61949728451057,84.25729927007299,45.199999999999875,2.32425169313574,,0.9044396949818325,2.350364963503651,2021-07-12,104.53196999999999,318.51188
5985886810,2021-07-14,4.2058599999999995,25.816666666666666,6.936322998966627,4.059100503328462,5.062351924922615,5.092909288691198,,23.2000000000005,,,2.7989679399895326,,2021-07-12,91.23747999999998,317.36755999999997
5990248117,2021-07-15,13.51012,74.03333333333333,5.090738402280169,3.0430284218854604,4.146197247148143,4.068736859929013,85.1086387434555,103.7999999999999,2.3730850889919934,353.1061584121796,1.0239016468841373,0.397905759162299,2021-07-12,92.44919999999999,321.1599
