run_id,date,total_distance_km,duration_min,avg_pace_min_km,min_pace_min_km,fastest_1km_pace,fastest_5min_pace,avg_cadence,total_elev_gain,avg_stride_len_m,avg_gct_est_ms,pace_variability,cadence_drift,week,load_7d,load_28d
5792688347,2021-06-09,0.783,39.23333333333333,21.900735706346502,10.384215991692628,20.805698921029176,20.148676849838782,,27.599999999999397,,2190.07357063465,0.044120378218694405,0.015694328343396558,2021-06-07,66.09182999999999,278.96623
5802710619,2021-06-11,6.80392,51.86666666666667,5.971463068705596,4.615526631588664,5.672889915270316,5.493746023209148,83.54989384288747,36.99999999999967,2.5,597.1463068705596,0.02177795568278343,0.014608166178992042,2021-06-07,63.00883999999999,261.76129
5808610638,2021-06-12,9.46936,56.16666666666666,9.93952417163551,3.530325496010732,9.442547963053734,9.14436223790467,84.77024793388429,108.19999999999985,2.5,993.952417163551,0.02540390914407701,0.021991182067326746,2021-06-07,64.46399,269.66375000000005
5814134924,2021-06-13,15.15678,69.83333333333333,4.9315081400653895,4.106101667077277,4.68493273306212,4.5369874888601585,87.6923076923077,107.99999999999932,2.5,493.15081400653895,0.04404546686067428,0.010456347196626603,2021-06-07,75.21748999999998,273.75695
5820976488,2021-06-14,10.0684,46.88333333333333,4.893815461134778,3.858024691358025,4.6491246880780395,4.502310224243996,86.94973070017953,114.5999999999996,2.5,489.38154611347784,0.022676880206251106,0.02874902959875563,2021-06-14,83.65786,266.8105
5827618413,2021-06-15,15.06754,66.86666666666666,4.509880325580561,2.6151995397248813,4.284386309301532,4.149089899534116,87.1263440860215,86.39999999999985,2.5,450.9880325580561,0.0167797098674437,0.024658625360388802,2021-06-14,57.92926999999999,271.86284
5833416710,2021-06-16,13.01073,59.78333333333333,4.660010140032266,2.967182956501098,4.427009633030653,4.287209328829685,86.68051575931231,117.4000000000002,2.5,466.00101400322666,0.03227205049833401,0.007235275057806488,2021-06-14,70.35972999999998,283.16368
5837444826,2021-06-17,3.20581,17.216666666666665,5.268479916907709,3.63821581896238,5.005055921062323,4.847001523555092,85.12105263157895,15.400000000000148,2.5,526.8479916907709,0.04744619096643124,0.015439519394623208,2021-06-14,72.78253999999998,276.31219
5837447610,2021-06-17,0.98861,5.533333333333333,6.017019212934955,4.880429477794047,5.716168252288207,5.5356576759001594,83.60317460317461,7.199999999999989,2.5,601.7019212934955,0.03784119186699892,0.026977957689054116,2021-06-14,66.96722999999999,273.61462
5837447254,2021-06-17,10.65181,60.41666666666666,5.266489105719485,2.3228803716608595,5.0031646504335106,4.845169977261926,86.24444444444444,71.80000000000007,2.5,526.6489105719485,0.0328024468035746,0.028618300557285255,2021-06-14,68.14967999999999,270.71204
6238240839,2021-06-18,23.356,45.0,1.934199011459924,1.64836976230508,1.8374890608869276,1.7794630905431301,74.58052991961894,0.0,2.5,193.41990114599238,0.013887059750830742,0.01668503778124674,2021-06-14,76.34889999999999,267.05261
5844850255,2021-06-18,12.61283,68.38333333333334,5.296701953676863,3.530325496010732,5.0318668559930195,4.872965797382714,86.03757225433526,75.39999999999955,2.5,529.6701953676863,0.03460028906796679,0.020335284730267692,2021-06-14,78.89332999999999,269.95933
5844852417,2021-06-18,5.35018,41.0,5.829598098168128,2.5811780496618657,5.538118193259721,5.363230250314678,85.26112759643917,56.400000000000205,2.5,582.9598098168127,0.049602154004170534,0.00917584865230188,2021-06-14,69.17596999999998,270.79982
5850635858,2021-06-19,9.71778,51.46666666666667,8.458223315876484,4.252785574551331,8.03531215008266,7.781565450606366,85.32188065099457,80.9999999999996,2.5,845.8223315876484,0.015603360609460961,0.029779215653424413,2021-06-14,65.88301999999999,270.49212
5857968792,2021-06-20,20.05663,93.15,4.464972440699309,3.338675213675214,4.241723818664344,4.107774645443365,87.82884615384616,120.20000000000076,2.5,446.49724406993096,0.030733186094549468,0.010791792534586085,2021-06-14,82.73383999999999,289.1877
5861454770,2021-06-21,7.85277,42.18333333333333,5.312268530721969,4.106101667077277,5.04665510418587,4.887287048264212,84.92954545454545,74.80000000000001,2.5,531.2268530721968,0.04509492287711822,0.02856829435337814,2021-06-21,89.598,287.45208
5866454289,2021-06-22,15.58726,76.16666666666667,5.064845840198783,2.8129395218002813,4.8116035481888435,4.65965817298288,86.09849362688297,99.80000000000038,2.5,506.4845840198783,0.03963074471016818,0.021241166224809212,2021-06-21,94.53345,293.34096
5871724975,2021-06-23,8.81498,47.06666666666667,5.8903011052018135,3.675119441381845,5.595786049941722,5.4190770167856686,84.4979079497908,45.00000000000023,2.5,589.0301105201814,0.03788062963981072,0.02019341987197148,2021-06-21,79.99242999999998,292.10589000000004
5871725647,2021-06-23,2.94745,17.866666666666667,5.474222998992705,3.4216108944090875,5.200511849043069,5.036285159073288,83.90229885057471,22.3999999999999,2.5,547.4222998992705,0.03809936335948437,0.017817212775412712,2021-06-21,70.32704999999999,280.03596000000005
5877837146,2021-06-24,9.72185,56.25,5.388375605163629,3.713606654783125,5.118956824905448,4.957305556750539,85.2155477031802,69.7999999999999,2.5,538.8375605163629,0.024379646048790206,0.010766745292943967,2021-06-21,74.69872,276.76377
5881684661,2021-06-25,4.10671,28.316666666666663,13.782127338395826,3.9872408293460926,13.093020971476035,12.679557151324161,83.69548872180451,23.0,2.5,1378.2127338395826,0.021743673770579737,0.009413200800137706,2021-06-21,69.08764999999998,275.77377
5881694225,2021-06-25,11.14596,59.53333333333333,22.232591883943662,2.522958926228681,21.12096228974648,20.45398453322817,78.90934844192634,69.40000000000049,2.5,2223.2591883943664,0.04237444621914055,0.010512155226754383,2021-06-21,60.17697999999999,281.78519
5888951308,2021-06-26,10.05802,48.56666666666667,4.980618387286456,2.7954825002795483,4.731587467922133,4.58216891630354,84.76071428571429,75.80000000000013,2.5,498.0618387286456,0.042404535787167234,0.009660956553606364,2021-06-21,62.38222999999999,281.9563
5891991721,2021-06-27,19.46125,88.93333333333334,4.5707195356252805,2.9091755396520624,4.342183558844017,4.205061972775258,87.02075471698113,182.5999999999997,2.5,457.07195356252805,0.04468289274320415,0.024489611839168833,2021-06-21,66.25621999999998,293.40334
5898451269,2021-06-28,10.82526,51.16666666666666,5.319961971447162,3.0275507114744173,5.053963872874804,4.894365013731389,85.7901023890785,81.99999999999892,2.5,531.9961971447162,0.046529622102258854,0.013753131479168252,2021-06-28,68.26649999999998,299.82532000000003
5904346179,2021-06-29,12.36356,58.75,5.242960254818256,3.382721060821325,4.980812242077343,4.823523434432796,85.66015037593985,105.79999999999971,2.5,524.2960254818256,0.03045369595443751,0.006446066914084909,2021-06-28,77.68260999999998,310.56085
5908230329,2021-06-30,10.16256,61.65,30.880177616993414,2.5924197646082856,29.336168736143744,28.409763407633942,75.33033303330333,98.9999999999996,2.5,3088.0177616993415,0.030060651787487985,0.02922756575352028,2021-06-28,78.12331999999998,279.92728000000005
5908230645,2021-06-30,1.01632,6.283333333333333,6.301865795994244,5.413012882970661,5.986772506194532,5.797716532314705,81.95774647887323,6.000000000000167,2.5,630.1865795994244,0.04193180715867101,0.02709464712408564,2021-06-28,75.03292999999998,280.36333
5908227427,2021-06-30,3.56945,23.916666666666668,21.376278757129377,3.683241252302025,20.30746481927291,19.66617645655903,81.7051282051282,21.59999999999985,2.5,2137.627875712938,0.03599855723111061,0.028193807079880322,2021-06-28,67.45641999999998,283.14978
5915470966,2021-07-01,7.22844,42.8,5.634351397366817,4.568713450292397,5.352633827498476,5.1836032855774725,83.00466200466201,75.2000000000001,2.5,563.4351397366817,0.038078675090308135,0.02987269556616088,2021-06-28,64.62683999999999,283.57430000000005
5920613114,2021-07-02,12.76474,65.26666666666667,4.90822258353776,3.900460254310009,4.662811454360871,4.515564776854739,86.05154639175258,51.40000000000015,2.5,490.82225835377596,0.04183170677744404,0.009347381230487183,2021-06-28,57.930329999999984,286.86968
5930617786,2021-07-04,20.00758,99.25,4.719269319307546,3.5942779095679684,4.483305853342169,4.341727773762943,86.25146198830409,102.7999999999995,2.5,471.9269319307546,0.04560021367270266,0.01490605047256647,2021-06-28,67.11264999999999,291.72048
5937071453,2021-07-05,11.22116,55.083333333333336,5.015529783135958,3.1446540880503147,4.76475329397916,4.614287400485082,85.31484502446982,71.2000000000001,2.5,501.5529783135958,0.02351980627406143,0.02395596189260228,2021-07-05,65.97024999999998,292.87324
5943994260,2021-07-06,17.500349999999997,83.0,5.062192090773207,2.7908015181960257,4.809082486234547,4.65721672351135,85.93117408906883,153.9999999999999,2.5,506.2192090773208,0.025023318105597762,0.022400515451344805,2021-07-05,73.30803999999998,295.30605
5949493945,2021-07-07,12.2984,60.31666666666667,5.047490869188114,2.677806341045416,4.795116325728708,4.643691599653065,85.63165680473372,107.59999999999982,2.5,504.7490869188114,0.01375927759363476,0.008847397658496375,2021-07-05,84.59011999999998,294.59372
5954166966,2021-07-08,17.56257,80.06666666666666,7.482509415078107,3.007337904486948,7.108383944324202,6.883908661871859,86.94585987261146,91.79999999999892,2.5,748.2509415078107,0.03313120563984696,0.025395828124765443,2021-07-05,98.58324,308.95048
5959276428,2021-07-09,10.818370000000002,61.96666666666667,5.306855576792901,4.163544008660171,5.0415127979532555,4.882307130649469,83.80258899676376,77.19999999999993,2.5,530.6855576792901,0.011437690951869684,0.010611014295916515,2021-07-05,102.17316999999998,318.78024
